Player,Team,K Rank,wk 1,wk 2,wk 3,wk 4,wk 5,wk 6,wk 7,wk 8
A.J. Green,CIN,24.65,42.0,7.6000000000000005,15.4,40.6,10.0,17.6,39.800000000000004,24.200000000000003
Julio Jones,ATL,24.475,19.200000000000003,27.200000000000003,3.2,66.0,5.800000000000001,33.8,34.800000000000004,5.800000000000001
Corey Coleman,CLE,23.299999999999997,13.8,32.8,OUT,OUT,OUT,OUT,OUT,OUT
Mike Evans,TB,22.428571428571423,25.8,20.0,32.400000000000006,11.8,23.8,BYE,31.200000000000003,12.0
Antonio Brown,PIT,21.742857142857144,37.2,7.800000000000001,28.0,24.8,21.6,9.0,23.800000000000004,BYE
Amari Cooper,OAK,21.674999999999997,29.400000000000002,14.200000000000001,12.4,9.600000000000001,35.6,25.8,5.800000000000001,40.6
T.Y. Hilton,IND,20.725,15.8,8.200000000000001,40.800000000000004,14.4,40.2,9.8,32.6,4.0
Odell Beckham,NYG,20.25714285714286,14.600000000000001,17.2,24.200000000000003,4.6000000000000005,15.000000000000004,56.400000000000006,9.8,BYE
Brandin Cooks,NO,19.97142857142857,42.8,13.600000000000001,3.8000000000000003,6.2,BYE,41.0,17.6,14.8
Marvin Jones,DET,19.475,17.0,23.6,53.0,14.8,13.4,8.6,18.8,6.6000000000000005
Michael Crabtree,OAK,18.974999999999998,19.400000000000002,12.2,20.400000000000002,35.6,15.4,2.0,25.200000000000003,21.6
Jarvis Landry,MIA,18.057142857142857,11.8,27.400000000000002,33.2,12.200000000000001,6.000000000000001,18.2,17.6,BYE
Terrelle Pryor,CLE,17.95,13.600000000000001,6.4,44.8,14.0,11.200000000000001,27.799999999999997,3.6,22.200000000000003
Larry Fitzgerald,ARI,17.725,28.2,22.2,12.0,12.6,28.2,9.8,14.0,14.8
Stefon Diggs,MIN,17.466666666666665,20.400000000000002,42.4,8.0,9.200000000000001,OUT,BYE,3.6,21.200000000000003
Mike Wallace,BAL,17.4,26.4,20.200000000000003,7.800000000000001,11.4,12.600000000000001,19.400000000000002,24.0,BYE
Kenny Britt,LA,17.0,13.4,18.8,7.6000000000000005,16.400000000000002,15.0,39.2,8.6,BYE
Jordy Nelson,GB,16.999999999999996,12.4,20.6,32.2,BYE,13.600000000000001,13.600000000000001,1.8,24.8
Kelvin Benjamin,CAR,16.77142857142857,24.2,33.6,0.0,13.8,14.0,17.2,BYE,14.600000000000001
Willie Snead,NO,16.633333333333333,40.4,16.8,OUT,4.6000000000000005,BYE,9.4,17.400000000000002,11.200000000000001
Emmanuel Sanders,DEN,16.425,9.8,7.800000000000001,35.400000000000006,23.6,16.0,8.0,17.2,13.600000000000001
Davante Adams,GB,16.4,16.0,5.2,10.600000000000001,BYE,23.0,6.800000000000001,38.400000000000006,14.8
Demaryius Thomas,DEN,16.375,9.600000000000001,18.0,26.0,24.8,15.8,7.0,14.0,15.8
Dez Bryant,DAL,16.15,1.6,20.400000000000002,14.0,OUT,OUT,OUT,BYE,28.6
Randall Cobb,GB,16.033333333333335,13.600000000000001,8.6,6.6000000000000005,BYE,21.6,16.6,29.2,OUT
Michael Thomas,NO,15.957142857142856,11.600000000000001,11.200000000000001,20.200000000000003,14.8,BYE,21.6,26.0,12.600000000000001
Cole Beasley,DAL,15.428571428571429,13.0,15.0,14.600000000000001,14.600000000000001,16.6,23.6,BYE,10.600000000000001
